Agency Name,City,Address Line 1,MATCH_BY_CITY,MATCH_BY_ADDRESS,MATCH_BY_NAME_ONLY
BRITISH AIRWAYS MAINTENANCE CARDIFF LIMITED,BARRY,"DRAGONFLY DRIVE, CARDIFF INTERNATIO",NO,,
BRL NDT CONSULTANTS LLC,SAN ANTONIO,10860 VANDALE STREET,NO,,
BROADIES AIRCRAFT AND ENGINE SERVICE INC,FORT WORTH,4701 N. MAIN ST. LOC 44N,NO,,
BROKAIR AVIATION GROUP,GRANADILLA DE ABONA,"C/ EL GUIRRE Nº 17, NAVE 17",NO,,
BRONZAVIA INDUSTRIE,SARTROUVILLE,35 RUE DE LA BEAUCE,NO,,
BROTHERS AVIATION MAINTENANCE SERVICE INC,CLOVER,406 SOUTH MAIN STREET,NO,,
BROWNE'S AIRCRAFT INTERIORS,TEHACHAPI,16332 HARRIS ROAD,NO,,
BRUCE AEROSPACE INC,CARSON CITY,580 MALLORY WAY,NO,,
BRUNSWICK AVIATION SERVICES LLC,ALLENTOWN,601 HAYDEN CIRCLE,YES,,
BT AIRWORKS PTE LTD,SINGAPORE,25 CHANGI SOUTH STREET 1 #01-01,NO,,
BUCHER AEROSPACE CORPORATION,EVERETT,1310 INDUSTRY STREET,NO,,
BUCKEYE AIR,HEBRON,2197 REFUGEE RD,NO,,
BUCKEYE TURBINES LLC,UNIONDALE,5921 NORTH MAIN STREET,NO,,
BUDNEY OVERHAUL & REPAIR LTD,BERLIN,131 NEW PARK DRIVE,NO,,
BUN AIR AVIONICS CORPORATION,BEDFORD,697 BELDEN ROAD,NO,,
BURLINGTON AIR CENTER INC,BURLINGTON,703 AIRPORT DRIVE,YES,,
BURRANA INC,MEXICALI,CIRCUITO DEL PROGRESO NO. 86,NO,,
,SPRINGVILLE,"743 WEST 1200 NORTH, SUITE 100",NO,,
BUSINESS JET SERVICE LTD,DALLAS,8350 DENTON DRIVE,NO,,
BUTLER AVIONICS INC,NEW CENTURY,ONE AERO PLAZA,NO,,
BUTTE AVIATION INC,BUTTE,4602 HARRISON AVE.,NO,,
BYAM PROPELLER SERVICE INC,FORT WORTH,336 GULFSTREAM RD,NO,,
BYERLY AVIATION INC,PEORIA,6100 EM DIRKSEN PARKWAY,NO,,
BYLER PSI,OMAK,102J OMAK AIRPORT ROAD,NO,,
BYRON PRODUCTS INC,FAIRFIELD,3781 PORT UNION ROAD,NO,,
BZ LOGISTICS LLC,HOUSTON,15603 WEST HARDY STE 335,NO,,
C & W AEROSERVICES INC,FAIRFIELD,19 WRIGHT WAY SUITE 3,NO,,
C AND A AVIATION SDN BHD,JOHOR BAHRU,"LOT AP5, SENAI AEROSPACE PARK 1",NO,,
C J AVIATION PRODUCTS LLC,BALDWIN CITY,684 E. 1700 RD,NO,,
C R AVIATION INC,MIAMI,"14359 SW 127TH STREET, HANGAR 109",NO,,
C7 AEROWERKS LLC,COLORADO SPRINGS,1727 AVIATION WAY,NO,,
C-FAN,SAN MARCOS,1000 TECHNOLOGY WAY,NO,,
CF ROARK WELDING & ENGINEERING CO INC,BROWNSBURG,136 NORTH GREEN STREET,NO,,
C&C AEROSYSTEMS LLC,MIAMI GARDENS,4791 NW 157TH  ST,YES,,
C&L AEROSPACE HOLDINGS LLC,BANGOR,40 WYOMING AVE,NO,,
C&M MARINE AVIATION SERVICES INC,DALLAS,9200 KING ARTHUR DRIVE,NO,,
C&S PROPELLER LLC,FORT WORTH,8717 FORUM WAY SUITE 121,NO,,
CABIN CRAFTERS INC,SOUTH  HACKENSACK,50 LOUIS STREET,NO,,
CABIN MANAGEMENT SOLUTIONS LLC,SAN ANTONIO,10525 MOPAC DRIVE,NO,,
CABINAIR SERVICES LIMITED,LETCHWORTH,CABINAIR SERVICES LTD.,NO,,
CAC PLASTICS LLC,WASILLA,2600 E. BROADVIEW AVE.,NO,,
CADORATH AEROSPACE LAFAYETTE LLC,BROUSSARD,210 STANTON STREET,NO,,
CAE OXFORD AVIATION ACADEMY PHOENIX INC,MESA,5030 EAST FALCON DRIVE,NO,,
CAE USA INC,PUEBLO,1 WILLIAM WHITE BOULEVARD,NO,,
CAERDAV LIMITED,ST ATHAN,"BUILDING 282, SCOTT WAY",NO,,
CAL PACIFIC AIRMOTIVE INC,SALINAS,1330 MERCER WAY,NO,,
CAL-AIR AVIATION SERVICES INC,SAN JOSE,1277 AIRPORT BLVD,NO,,
CALIBRO AVIONICS LLC,WATSONVILLE,50 AVIATION WAY,YES,,
CALIFORNIA AERO COMPONENTS INC,IRVINE,17811 MITCHELL N,NO,,
CALIFORNIA AIRCRAFT ACCESSORIES LLC,SHAFTER,311 AVIATION ST.,NO,,
CALIFORNIA BALLOON REPAIR INC,DIXON,800 BUSINESS PARK DRIVE,NO,,
CALIFORNIA DEPT OF FORESTRY & FIRE PROTECTION,MCCLELLAN,5500 PRICE AVENUE,NO,,
CALIFORNIA IN NICE INC,SAN JOSE,2575 ROBERT FOWLER WAY,NO,,
CALIFORNIA PRECISION HYDRAULICS INC,AGOURA HILLS,"5330 DERRY AVENUE, UNIT B",NO,,
CALIFORNIA RADOMES INC,SANTA CLARA,364  REED ST.,YES,,
CALIFORNIA TURBINE SERVICE,SANTA PAULA,"15500 TELEGRAPH ROAD, #C-21",NO,,
CALSPAN CORPORATION,NIAGARA FALLS,2041 NIAGARA FALLS BOULEVARD,NO,,
CALVIN TAFF ELECTRONICS INC,BETHANY,"HANGAR # 3-C, WILEY POST AIRPORT",YES,,
CAM AVIONICS LLC,BURLESON,12925 WILDCAT WAY NORTH,YES,,
CAMARILLO AVIONICS,CAMARILLO,1708 EDGEMONT DRIVE,NO,,
CAMPBELL DANIEL DEAN,TP MCCAMPBELL AIRPORT,TP MCCAMPBELL AIRPORT,NO,,
CAMPUS AVIONICS SERVICES,FORT WORTH,3808 FALCON WAY WEST,NO,,
CAMTRONICS LLC,TULSA,122 W BEECHCRAFT DRIVE,NO,,
CANDACE A LARNED ENTERPRISES INC,LONG BEACH,2631 E. SPRING STREET,NO,,
CANNON AIRCRAFT INTERIORS-CAI AVIONICS,EVERETT,10108 32ND AVE.,NO,,
CANNON AVIONICS INC,ARLINGTON,17725 48TH DRIVE N.E.,NO,,
CANYON OAKS PROPELLER,SPRINGFIELD,8220 OLD WHITE LAKE ROAD,NO,,
CANYON STATE INSPECTION INC,CHANDLER,103 SOUTH SOUTHGATE DRIVE,NO,,
,TUCSON,3625 EAST AJO WAY,NO,,
CANYON WELDING,CANYON COUNTRY,26782 OAK AVENUE,NO,,
CAPE AEROSPACE REPAIR SERVICES INC,CAPE CORAL,2634 NORTH EAST 9TH AVENUE,YES,,
CAPE COPTERS LLC,CAPE GIRARDEAU,438 RUSH H LIMBAUGH JR MEM DR,NO,,
CAPE FEAR AIRWORKS INC,SOUTHPORT,4015 AIRPORT RD,NO,,
CAPITAL AVIATION INC,BETHANY,5500 PHILLIP J. RHOADES,YES,,
CAPPSCO INTERNATIONAL CORPORATION A MIDWEST COMPAN,TUCSON,1775 W SAHUARO DRIVE,NO,,
CARAVAN'S INC,FOREST LAKE,15618 POTOMAC STREET,NO,,
CARBON COMPONENT TECH SERVICES,ADDISON,4307 LINDBERGH DR,NO,,
CARDINAL NDT LLC,SAN ANTONIO,10854 GULFDALE ST.,NO,,
CARGO REPAIR LLC,LOUISVILLE,2520 RIDGEMAR COURT,NO,,
CARGO SUPPORT SERVICES LLC,ERIE,811 WEST 12TH STREET,NO,,
CARGO SYSTEMS INC,AUSTIN,2120 DENTON DR.,NO,,
CARGOLUX AIRLINES INTERNATIONAL S A,SANDWEILER,CARGOLUX MAINTENANCE CENTER,NO,,
CARIBBEAN AIRLINES LIMITED,PIARCO,IERE HOUSE,NO,,
CARMAS AVIATION EQUIPMENT INC,MEDLEY,9999 NW 89TH AVENUE,NO,,
CAROLINA AVIATION TECHNICAL SERVICES LLC,STATESVILLE,238 AIRPORT RD.,NO,,
CAROLINA AVIONICS GROUP LLC,SALISBURY,3650 AIRPORT LOOP ROAD,YES,,
CAROLINA TURBINE SUPPORT INC,AIKEN,10 FORWARD COURT,NO,,
CARPE DIEM AVIATION SERVICES OF MISSOURI INC,JOPLIN,2707 E. 32ND STREET,NO,,
CARSON HELICOPTERS INC,PERKASIE,952 BLOOMING GLEN ROAD,NO,,
CARTER AIRCRAFT INC,SEBRING,201 CHALLENGER DRIVE,NO,,
CARTER PLATING INC,BURBANK,1842 N. KEYSTONE STREET,NO,,
CARVER AERO LLC,COUNCIL BLUFFS,"101 MCCANDLESS LANE, SUITE 1",NO,,YES
,SUGAR GROVE,AURORA MUNICIPAL AIRPORT,NO,,
CARVER AERO LLC,DAVENPORT,DAVENPORT MUNICIPAL AIRPORT,NO,,YES
CASCADE AIRCRAFT MANAGEMENT,CALDWELL,3901 AVIATION WAY,NO,,
CASCADE AIRFRAME REPAIR INC,AUBURN,1725 E STREET NE,NO,,
CASFER AERO SYSTEMS INC,BOISE,11770 W PRESIDENT DR. STE C,YES,,
CASTLE AERONAUTICS LLC,GLENDALE,6703 W. KRISTAL WAY,NO,,
CASTLEBERRY INSTRUMENTS & AVIONICS LLC,SHOW LOW,700 N 40TH STREET,YES,,
CAUSEY AVIATION SERVICE INC,LIBERTY,6120 SMITHWOOD ROAD,NO,,
CAV ICE PROTECTION LIMITED,COUNTY DURHAM,NO 1 INDUSTRIAL ESTATE,NO,,
CAV ICE PROTECTION INC,NEW CENTURY,30 LEAWOOD DR.,NO,,
CAVOK,PERIGNY,AERODROME - LE RANCUT,NO,,
,BOUAKE,BASE AERIENNE/AEROPORT DE BOUAKE,NO,,
CAVU AEROSPACE MAINTENANCE LLC,ROSWELL,605 E CHALLENGER STREET,NO,,
CB AVIATION INC,CANANDAIGUA,2450 BRICKYARD RD.,NO,,
CBS AVIATION WINDOWS LLC,EDGEWATER,3428 WOODLAND DRIVE,NO,,
CC INDUSTRIES INC,WHEELING,225 SUMAC ROAD,NO,,
CCS MAINTENANCE APS,DRAGOER,KOMPASROSEVEJ 2,NO,,
CE AVIONICS INC,SANFORD,2789 FLIGHTLINE AVENUE,YES,,
CEC VIBRATION PRODUCTS LLC,COVINA,746 ARROW GRAND CIRCLE,NO,,
CEDTECH TESTING LABORATORIES,SOUTHGATE,10708 SOUTH GARFIELD AVE.,NO,,
CEF INDUSTRIES LLC,ADDISON,320 S. CHURCH ST.,NO,,
CELESTICA MALAYSIA SDNBHD,KULIM,"PLOT 15 & 16, JALAN HI-TECH 2/3 PHA",NO,,
CELESTICA MAPLE GROVE,MAPLE GROVE,10950 85TH AVE N,NO,,
CEMG AEROSAUVETAGE,MAREUIL LES MEAUX,345 RUE DES MADELEINES,NO,,
CENTENNIAL AIRCRAFT INTERIORS CORPORATION,ENGLEWOOD,7405 SOUTH PEORIA STREET,NO,,
CENTENNIAL AIRCRAFT SERVICES AG,ALTENRHEIN,FLUGHAFENSTRASSE 11,NO,,
CENTENNIAL AIRCRAFT SERVICES INC,BATTLE CREEK,15955 SOUTH AIRPORT RD.,NO,,
CENTERPOINTE AEROSPACE INC,FATE,279 BLACKLAND RD.,NO,,
CENTERPOINTE AEROSPACE INC,SANFORD,512 DAUNTLESS POINT,NO,,
CENTRAL AEROSPACE SAS,BOGOTA,AEROPUERTO EL DORADO,NO,,
CENTRAL AIR SOUTHWEST,CUSHING,12 WEST AIRPORT RD,NO,,
CENTRAL AMERICAN AIRWAYS FLYING SERVICE INC,LOUISVILLE,BOWMAN FIELD (LOU),NO,,
CENTRAL CYLINDER SERVICE INC,OMAHA,6315 LINDBERGH DRIVE,NO,,
CENTRAL EUROPEAN ENGINE SERVICES SP Z OO,WARSAW,"45C, KOMITETU OBRONY ROBOTNIKOW ST.",NO,,
CENTRAL FLORIDA AVIONICS AND INSTRUMENTS,LEESBURG,LEESBURG REGIONAL AIRPORT,YES,,
CENTRAL FLYING SERVICE LLC,LITTLE ROCK,2400 DAVID GRUNDFEST JR. DRIVE,NO,,
CENTRAL TEXAS AVIONICS INC,GEORGETOWN,217 CORSAIR DRIVE,YES,,
CENTRAL TEXAS COLLEGE,KILLEEN,1401 STONETREE DRIVE,NO,,
CENTRI-LUBE TECHNOLOGIES LLC,LOVELAND,5212 CESSNA DR.,NO,,
CENTRO DE SERVICIO AVEMEX SADE CV,TOLUCA,"CALLE 4, HANGAR 14, LOTE 35",NO,,
CENTURION AVIATION SERVICES,FAYETTEVILLE,3001 CONTROL TOWER ROAD,NO,,
CENTURION INVESTMENTS INC,CHESTERFIELD,750 NORTH BEECHCRAFT AVENUE,NO,,
CENTURY FLIGHT SYSTEMS INC,MINERAL WELLS,3010 F.M. 1195,NO,,
CENTURY HELICOPTERS INC,FORT COLLINS,2001 AIRWAY AVENUE,YES,,
CENTURY INSTRUMENT CORPORATION,WICHITA,4440 S SOUTHEAST BLVD BLDG 2,NO,,
CERALUSA LLC,OKLAHOMA CITY,7002 S. BRYANT AVE.,NO,,
CERTIFIED AIRCRAFT MAINTENANCE LLC,CLEVELAND,2301 NORTH MARGINAL ROAD,NO,,
CERTIFIED AVIATION SERVICES LLC,BIRMINGHAM,1943 NORTH 50TH STREET,NO,,
CERTIFIED ENGINES UNLIMITED INC,PEMBROKE PINES,"1630 SOUTHWEST 75TH AVE, WEST HANGA",NO,,
CERTIFIED INSPECTION SERVICE INC,PHOENIX,21 SOUTH 41ST STREET,NO,,
CERTIFIED INSPECTION SERVICE LLC,SUWANEE,1039 INDUSTRIAL CT.,NO,,
CESSNA CITATION EUROPEAN SERVICE CENTER,LE BOURGET,AÉROPORT DE PARIS LE BOURGET,NO,,
CESSNA DUSSELDORF CITATION SERVICE CENTER GMBH,DUSSELDORF,DUSSELDORF AIRPORT,NO,,
CESSNA SPANISH CITATION SERVICE CENTER,QUART DE POBLET,"AEROPUERTO DE VALENCIA,",NO,,
CESSNA ZURICH CITATION SERVICE CENTER GMBH,KLOTEN,BIMENZAELTENSTRASSE,NO,,
CFS AEROPRODUCTS LIMITED,WARWICK,1 HARRIS ROAD,NO,,
CHALLENGE ENGINEERING & TESTING,MOBILE,4234 HALLS  MILL ROAD,NO,,
CHALLENGER AVIATION SERVICES INC,HOUSTON,8410 LARSON STREET,NO,,
CHAMPION AEROSPACE LLC,LIBERTY,1230 OLD NORRIS ROAD,NO,,
CHANNEL ISLANDS AVIATION INC,CAMARILLO,305 DURLEY AVENUE,NO,,
CHANTILLY AIR INC,MANASSAS,10500 WAKEMAN DRIVE,NO,,
CHARLES AEROSPACE INDUSTRIES INC,CLARK FREEPORT ZONE,"WAREHOUSE 1B BERTHAPHIL IV, CIVIL A",NO,,
CHARLES CITY AERONAUTICS INC,CHARLES CITY,3129 HWY 18,NO,,
CHARLESTON INSTRUMENTS,JOHNS ISLAND,2700 FORT TRENHOLM ROAD,NO,,
CHARLESTON TURBINE MANAGEMENT LLC,CHARLESTON,6070 PERIMETER ROAD,NO,,
CHATTANOOGA AERO SERVICE INC,CHATTANOOGA,1025 AVIATION WAY,NO,,
CHAUHAN INDUSTRIES INC,CAMARILLO,"CHAUHAN INDUSTRIES, INC.",NO,,
CHAUTAUQUA AIRCRAFT SALES INC,Jamestown,JAMESTOWN AIRPORT,NO,,
CHECKSIX AEROSOLUTIONS LLC,PALM SPRINGS,424 N. CIVIC DRIVE,YES,,
CHELTON AVIONICS INC,PRESCOTT,6400 WILKINSON DRIVE,NO,,
CHEMRING ENERGETIC DEVICES INC,DOWNERS GROVE,2525 CURTISS STREET,NO,,
CHENGDU CHENFA TAIDA AVIATION TECHNOLOGY CO,CHENGDU,CHENGDU CHENFA TAIDA AVIATION TECHN,NO,,
CHENGDU FALCON AIRCRAFT ENGINEERING SERVICES CO L,CHENGDU,NO. 800 KEYUAN SOUTH SECOND ROAD,NO,,
CHENGDU HUATAI AVIATION TECHNOLOGY COMPANY LIMITED,CHENGDU,NO.  1186 BAICAO ROAD,NO,,
CHESAPEAKE AVIATION SERVICE INC,EDGEWATER,3090 SOLOMON'S ISLAND ROAD,NO,,
CHESAPEAKE BAY HELICOPTERS INC,CHESAPEAKE,5202 WEST MILITARY HIGHWAY,NO,,
CHEVRON USA PRODUCTION COMPANY AVIATION MAINTENAN,PICAYUNE,PICAYUNE MUNICIPAL AIRPORT,NO,,
CHICAGO EXECUTIVE SERVICE CENTER LLC,WHEELING,743 SUMAC ROAD,NO,,
CHICAGO JET GROUP LLC,SUGAR GROVE,43W522  ROUTE 30,YES,,
CHIEF AVIONICS INC,GRANTS PASS,1301 BROOKSIDE BLVD.,YES,,
CHINA AIRCRAFT SERVICES LIMITED,LANTAU,81 SOUTH PERIMETER ROAD,NO,,
CHINA AIRLINES LTD,TAOYUAN CITY,"NO. 15 HANGQIN S. RD., DAYUAN DISTR",NO,,
CHINA EXPRESS AIRCRAFT MAINTENANCE AND ENGINEERING,CHONGQING,JIANGBEI INTERNATIONAL AIRPORT,NO,,
CHINA SKYAERO ENGINE MAINTENANCE CO LTD,WUHU CITY,"E OF WUXUAN AVE, W OF HANGKONG RD 4",NO,,
CHOICE AVIATION LLC,CODY,3227 DUGGLEBY DRIVE,NO,,
,HAMILTON,528 AIRPORT ROAD,NO,,
CHORD AEROSPACE LLC,ALLENTOWN,3405 AIRPORT ROAD,NO,,
CHRISTIANSEN AVIATION LLC,TULSA,106 PIPER DRIVE,NO,,
CHROMAL PLATING CO,LOS ANGELES,1748 WORKMAN STREET,NO,,
CHROMALLOY (THAILAND) LTD,PATHUM THANI,25 MOO 5 BUNGKHAMPROI LAMLUKKA,NO,,
CHROMALLOY COMPONENT SERVICES INC,SAN ANTONIO,303 INDUSTRIAL PARK,NO,,
CHROMALLOY GAS TURBINE CORPORATION,SAN DIEGO,7007 CONSOLIDATED WAY,NO,,
CHROMALLOY GAS TURBINE LLC,WINDSOR,601 MARSHALL PHELPS ROAD,NO,,
,PHONEIX,5161 WEST POLK STREET,NO,,
,LAGRANGE,1664 LUKKEN INDUSTRIAL DRIVE WEST,NO,,
,NEWNAN,30 DART ROAD,NO,,
CHROMALLOY HOLLAND BV,TILBURG,SIRIUSSTRAAT 55,NO,,
CHROMALLOY NEVADA,CARSON CITY,3636 ARROWHEAD DRIVE,NO,,
CHROMALLOY RESEARCH AND TECHNOLOGY DIVISION,ORANGEBURG,330 BLAISDELL ROAD,NO,,
CHROMALLOY SA DE CV,MEXICALI,GALAXIA 91 PARQUE INDUSTRIAL,NO,,
CHRONOS AVIATION LLC,ROCKFORD,CHICAGO ROCKFORD INTERNATIONAL AIRP,YES,,
CIERVA SERVICE LLC,HURRICANE,800 W 2300 S,NO,,
CIMA AVIACION SA DE CV,TOLUCA,AEROPUERTO INTERNACIONAL DE TOLUCA,NO,,
CIMA AVIATION INC,DORAL,2200 NW 84 AVENUE,NO,,
CINCINNATI THERMAL SPRAY INC,Springfield,80 FADEM ROAD,NO,,
,CINCINNATI,5901 CREEK ROAD,NO,,
CINCINNATI THERMAL SPRAY SOUTH,ROCKY POINT,11766 NC HIGHWAY 210,NO,,
CIRCLE AIR GROUP LLC,EL CAJON,681 KENNEY STREET,YES,,
CIRCOR AEROSPACE INC,CORONA,2301 WARDLOW CIRCLE,NO,,
CIRCOR INDUSTRIA,LE PLESSIS TREVISE,28 AVENUE CLARA,NO,,
CIRRUS DESIGN CORPORATION,MCKINNEY,1451 INDUSTRIAL BLVD,NO,,
,DULUTH,4961 AIRPORT ROAD,NO,,
CIRRUS FACTORY SERVICE CENTER,KISSIMMEE,4134 AVIATION DR.,NO,,
,ALCOA,114 CIRRUS LANDING,NO,,
CITADEL COMPLETIONS LLC,LAKE CHARLES,3900 CHENNAULT PARKWAY,NO,,
CITY OF BANGOR AIRCRAFT REPAIR STATION,BANGOR,287 GODFREY BLVD.,NO,,
CITY OF LONG BEACH HELICOPTER FACILITY,LONG BEACH,3205 N. LAKEWOOD BOULEVARD,NO,,
CITY OF LOS ANGELES INFORMATION TECHNOLOGY,VAN NUYS,16621ARMINTA STREET,NO,,
CITY OF LOS ANGELES-GENERAL SERVICES,VAN NUYS,16621 ARMINTA STREET,NO,,
CITY PLATING AND METAL FINISHING LLC,SAN ANTONIO,11511 REVERIE,NO,,
CIVIC HELICOPTERS INC,CARLSBAD,2206 PALOMAR AIRPORT ROAD,NO,,
CLARION AVIONICS,DOTHAN,453 FLIGHTLINE DRIVE,NO,,
CLASSIC AVIATION INC,PELLA,501 WEST 15TH STREET,YES,,
CLASSIC AVIATION LLC,WEYERS CAVE,SHENANDOAH VALLEY REGIONAL AIRPORT,NO,,
CLASSIC INTERIOR COMPLETIONS INC,COUDERSPORT,39 DAMASCUS ROAD,NO,,
,NAPLES,4586 PROGRESS AVENUE,NO,,
,WILLOUGHBY,38585 APOLLO PKWY,NO,,
CLASSIC JET CENTER LLC,WILLOUGHBY,1969 LOST NATION ROAD,NO,,
CLASSIC SERVICE CENTER LLC,WOODS CROSS,2244 SOUTH 1640 WEST,NO,,
CLAY LACY AVIATION,OXFORD,353 CHRISTIAN STREET,NO,,YES
CLAY LACY AVIATION INC,COSTA MESA,361 PAULARINO AVENUE,NO,,
CLAY LACY AVIATION INC,VAN NUYS,7701 WOODLEY AVENUE,NO,,
CLAYTON INTERNATIONAL INC,PEACHTREE CITY,300 DIVIDEND DRIVE,NO,,
CLEAR SKIES AVIONICS INC,CLEARWATER,4303 GENERAL HOWARD DRIVE,NO,,
CLEAR SKY AVIATION LLC,CHARLOTTESVILLE,995 RESEARCH PARK BLVD,NO,,
CLEAR2FLY AEROSPACE LLC,DAYTONA BEACH,1585 AVIATION CENTER PARKWAY #606,NO,,
CLEMENS AVIATION LLC,WICHITA,3751 NORTH JABARA ROAD,YES,,
CLERO ENTERPRISES INC,OPA LOCKA,3881 N.W. 125TH STREET,NO,,
CLIFF CHERRY MACHINE CO,LOUISVILLE,14007 DIXIE HIGHWAY,NO,,
CLIFFDALE LLC,CHATSWORTH,20409 PRAIRIE STREET,NO,,
CMC ELECTRONICS AURORA INC,SUGAR GROVE,84 DUGAN ROAD,NO,,
CO-OPERATIVE INDUSTRIES,FORT WORTH,1401 SOUTH CHERRY LANE,NO,,
COAST AVIATION SERVICES,SAN DIEGO,3760 GLENN H. CURTISS ROAD,NO,,
COASTAL AEROSPACE INC,MELFA,21419 FAIR OAKS ROAD,NO,,
COASTAL AVIONICS & ENGINEERING LLC,GOLETA,495 SOUTH FAIRVIEW AVENUE,NO,,
COASTAL HELICOPTERS INC,PANAMA CITY,"COSTAL HELICOPTERS, INC.",YES,,
COASTAL MECHANICS COMPANY INC,WEBSTER,18422 HIGHWAY 3,NO,,
COASTAL SKIES MAINTENANCE LLC,PEARLAND,17910 AIRFIELD LANE,YES,,
COASTAL VALLEY AVIATION,SANTA MARIA,3119 LIBERATOR STREET,NO,,
COASTAL WINDS AVIONICS,MOBILE,8400 AIRPORT BLVD,YES,,
COBALT AERO SERVICES LLC,HOT SPRINGS,190 ELMWOOD DRIVE,NO,,
COBRA KAI FLIGHT SERVICES LLC,WICHITA FALLS,"COBRA KAI FLIGHT SERVICES, LLC",NO,,
COLE AVIONICS REPAIR INC,SANTA ANA,2711 SHANNON STREET,NO,,
COLLINS AVIATION MAINTENANCE SERVICES (SHANGHAI) L,SHANGHAI,"GENERAL FACTORY BUILDING 4, FLOOR 1",NO,,
COLLINS ENGINE NOZZLES INC,WEST DES MOINES,811 4TH STREET,NO,,
COLONIAL COATINGS INC,MILFORD,66 ERNA AVENUE,NO,,
COLORADO AIRWORKS LLC,COLORADO SPRINGS,7312 BELL DR.,NO,,
COLUMBIA AIR SERVICES INC,GROTON,GROTON-NEW LONDON AIRPORT,YES,,
COLUMBIA AIRCRAFT SERVICES INC,BLOOMSBURG,BLOOMSBURG MUNICIPAL AIRPORT,NO,,
COLUMBIA BALLOONPORT LLC,PROSSER,7105 SOUTH MISSIMER ROAD,NO,,
COLUMBIA HELICOPTERS INC,AURORA,14452 ARNDT ROAD NE,YES,,
COLUMBIA MANUFACTURING INC,COLUMBIA,165 ROUTE 66 EAST,NO,,
COLUMBUS AERO SERVICE LLC,COLUMBUS,"5290 ARMOUR ROAD, HANGAR E",YES,,
COMAF INDUSTRIA AERONAUTICA LTDA,RIO DE JANEIRO,913 ESTRADA DO CAPENHA,NO,,
COMAV TECHNICAL SERVICES LLC,VICTORVILLE,"18438 READINESS STREET, BLDG. 691",NO,,
COMET ELETTROMECCANICA SRL,CIAMPINO,VIA ENZO FERRARI 42,NO,,
COMLUX AMERICA LLC,INDIANAPOLIS,2910 SOUTH HIGH SCHOOL ROAD,NO,,
COMMANDER INSTRUMENTS AND AVIONICS INC,CHARLOTTE,1803 ASSOCIATES LANE SUITE A,NO,,
COMMERCIAL AIRCRAFT DUCTING INC,TULSA,1630 N. 166TH EAST AV.,NO,,
COMMERCIAL AIRCRAFT INTERIORS LLC,BURLINGTON,1600 PORT DRIVE,NO,,
COMMERCIAL AIRCRAFT PARTS SERVICES ENG & DESIGN,MOJAVE,17012 ROPER ST.,NO,,
COMMERCIAL JET INC,MIAMI,4600 NW 36TH STREET,NO,,
COMMERCIAL JET SERVICES LLC,DOTHAN,100 JET SERVICES WAY,NO,,
COMMONWEALTH AVIATION SERVICE INC,RICHMOND,400 PORTUGEE ROAD,NO,,
COMPAGNIE DAHER,LOUEY,TARBES LOURDES PYRENEES AIRPORT,NO,,
COMPANIA ESPANOLA DE SISTEMAS AERONAUTICOS SAU,GETAFE,"P° JOHN LENNON, 4",NO,,
COMPASS AVIATION GROUP LLC,NEWCASTLE,20 WEST HWY. 130,NO,,
COMPLETE TURBINE SERVICES LLC,CORAL SPRINGS,12100 N.W. 39TH STREET,NO,,
COMPONENT OVERHAUL SERVICES CORP,MEDLEY,6891 NW 74TH STREET SUITE B,NO,,
COMPONENT PROCESS AND REPAIR LIMITED,BOGNOR REGIS,DICKINSON PLACE,NO,,
COMPONENT REPAIR MANAGEMENT INC,MUSKEGON,450 WEST HACKLEY AVENUE,NO,,
COMPONENT REPAIR TECHNOLOGIES INC,MENTOR,8507 TYLER BLVD,NO,,
COMPOSITE AERONAUTIC SPECIALISTS LLC,MEDLEY,9010 NW 105TH WAY,NO,,
COMPOSITE INDUSTRIE S A,BONDOUFLE,"32-32 BIS, RUE GUTENBERG",NO,,
COMPRESSED GAS SYSTEMS LLC,LOS ALAMITOS,10650 HUMBOLT STREET,NO,,
COMTECH ROTOR BLADES LLC,STOCKTON,6700 CE DIXON STREET,NO,,
CONCESIONARIA VUELA COMPA IA DE AVIACION SAPI,MEXICO CITY,"CALLE NORTE 3 NO. 90, BODEGA G,",NO,,
,TIJUANA,AEROPUERTO INTERNACIONAL DE TIJUANA,NO,,
CONCORDE JET CENTER LLC,BRUNSWICK,2 PEGASUS STREET,NO,,
CONDORSAA AVIATION LLC,LUBBOCK,6002 NORTH CEDAR AVE,NO,,
CONFIDENCE AVIATION INC,MIAMI,7605 NW 50TH STREET,NO,,
CONNECTICUT AERO TECH SCHOOL,HARTFORD,500 LINDBERGH DRIVE,NO,,
CONNOLLY JEFFREY R & LUNDEEN LINDA,REDDING,3076 CROSSROADS DRIVE,NO,,
CONOCOPHILLIPS CO,HOUSTON,18632 CHANUTE ROAD,NO,,
CONOSUR AVIATION SERVICES INC,DORAL,1540 NW 79TH AVENUE,NO,,
CONRAD AERO,THREE RIVERS,1200 FLIGHT LINE DRIVE,NO,,
CONSOLIDATED AIRCRAFT SUPPLY CO INC,RONKONOMA,55 RAYNOR AVE,NO,,
CONSOLIDATED FUEL SYSTEMS LLC,BURLINGTON,2208 AIR PARK DRIVE,NO,,
CONSOLIDATED INSTRUMENT COMPANY INC,TETERBORO,510 INDUSTRIAL AVENUE,NO,,
CONSOLIDATED TURBINE SPECIALISTS LLC,BRISTOW,24323 S. 385TH W. AVE,NO,,
